Job Title,Location,Rating,monthly,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned
SaT-DnA - Data Science Gen AI Manager,Pune,3.7,0,300000,600000,450000.0,EY
Data Analytic & Data Science Faculty/Trainer,India,,1,20000,20000,20000.0,Mindforge Infotech
Senior AI Engineer,,4.0,0,500000,700000,600000.0,Reltio
Software Engineer- Search & AI,Bengaluru,4.1,0,400000,1000000,700000.0,Apple
"Software Engineer (Framework), Ai & Data Platforms",Hyderābād,4.1,0,500000,800000,650000.0,Apple
EY-GDS Consulting-AI And DATA-Gen AI-Senior,,3.7,0,400000,700000,550000.0,EY
"Sr. Applied Scientist, Amazon Photos",Bengaluru,3.6,0,400000,1000000,700000.0,ADCI - Karnataka
AI Data Scientist - Digital Engineering Sr. Engineer,Hyderābād,3.8,0,500000,800000,650000.0,NTT DATA
Generative AI Developer,Pune,3.9,0,500000,500000,500000.0,XoriantːIN
Senior Manager-Decision Scientist,Bengaluru,3.8,0,400000,1000000,700000.0,Tesco
Specialized Analytics Manager - C12 - GURGAON,Gurgaon,3.7,0,600000,1000000,800000.0,Citigroup
Merchandising Analytics,Bengaluru,4.2,0,300000,600000,450000.0,Fractal Analytics
Manager - Data Science,Bengaluru,4.2,0,1000000,1000000,1000000.0,mPokket
Machine Learning Engineer - C12 - BANGALORE,Bengaluru,3.7,0,100000,300000,200000.0,Citigroup
Principal Member of Technical Staff (IC4)- (OCI AI Data Org.),Bengaluru,3.8,0,700000,900000,800000.0,Oracle
Lead Data Science,Pune,3.9,0,300000,700000,500000.0,Tekdi Technologies
"Associate Director, Data Science",Bengaluru,3.8,0,600000,900000,750000.0,Standard Chartered
Director Technical Program Manager Data & Analytics- Cloud Migration,Hyderābād,4.1,0,500000,1000000,750000.0,JPMorganChase
Principal AI Engineer,Chennai,4.0,0,800000,800000,800000.0,Ford Motor Company
Application Support Group Manager - Big Data Platform - SVP,Pune,3.7,0,400000,800000,600000.0,Citigroup
"Manager / Senior Manager, Data Science",Hyderābād,3.8,0,1000000,1000000,1000000.0,Micron Technology
Senior Software Engineer – AI/ML,Bengaluru,3.8,0,300000,300000,300000.0,Weekday
Statistical Analytics Engineer (F/M/D),Bengaluru,3.7,0,100000,200000,150000.0,Klüber Lubrication
Lead - AI Program Delivery,Hyderābād,3.6,0,600000,800000,700000.0,Warner Bros. Discovery
Senior AIML developer - AI LABs,Cochin,3.7,0,300000,600000,450000.0,EY
"Senior Manager, Machine Learning Science",Bengaluru,3.8,0,900000,1000000,950000.0,Expedia Group
Lead ML Engineer,Bengaluru,3.4,0,200000,600000,400000.0,Zeta Global
Generative AI Architect,Thiruvananthapuram,4.1,0,300000,800000,550000.0,Techvantage Systems
Engineer- Machine Learning,Chennai,3.9,0,200000,200000,200000.0,Qualcomm
Product Development Engineer II - Machine Learning,Hyderābād,4.0,0,500000,800000,650000.0,Phenom People
AI/ML Operations Lead,Bengaluru,3.9,0,600000,900000,750000.0,AGCO
